N	V_rect	V_monte	eps_rect	eps_monte	t_rect	t_monte
10	10.2716049382716	7.415572566609296	16.741506379827168	39.891632813239795	2.3126602172851562e-05	5.435943603515625e-05
11	10.151999999999996	7.6637988054650865	17.710987493038992	37.87958670668345	2.3365020751953125e-05	3.7670135498046875e-05
12	10.602554470323067	8.13333034961813	14.05893051476058	34.073707361803365	2.4318695068359375e-05	3.814697265625e-05
13	11.958333333333337	9.607045266315353	3.0694009821634993	22.128224184912828	3.0279159545898438e-05	3.9577484130859375e-05
14	11.142467000455166	8.891536804386819	9.682564385455487	27.927917326409442	3.0040740966796875e-05	4.1484832763671875e-05
15	11.728862973760926	9.538744997589163	4.929417657580269	22.681845310547015	3.314018249511719e-05	4.315376281738281e-05
16	11.861333333333329	9.759101544788024	3.8556533672281086	20.895702415704836	3.600120544433594e-05	4.482269287109375e-05
17	11.970703125	9.985355918885169	2.9691352275174694	19.06175353668251	3.981590270996094e-05	4.6253204345703125e-05
18	11.723997557500516	9.857503312198054	4.9688552363336616	20.098087731986254	4.553794860839844e-05	4.839897155761719e-05
19	11.938271604938265	10.15826080541578	3.2320152275154856	17.660239315816455	5.0067901611328125e-05	5.173683166503906e-05
20	12.218690771249461	10.469154071126768	0.9590230797836488	15.14023342235493	5.125999450683594e-05	5.3882598876953125e-05
21	12.176999999999996	10.517472345386043	1.2969557429802694	14.748580243194542	6.198883056640625e-05	5.91278076171875e-05
22	11.848396501457726	10.3020288340771	3.9605153766855494	16.494899569105215	6.246566772460938e-05	6.151199340820312e-05
23	11.89406461307288	10.402925438570115	3.590343606800929	15.677062497687213	7.200241088867188e-05	6.651878356933594e-05
24	12.000986274348646	10.560685662359123	2.7236692646036675	14.398306289208621	7.772445678710938e-05	7.152557373046875e-05
25	12.005208333333345	10.649332790890783	2.689446543504675	13.679759730062841	9.012222290039062e-05	7.581710815429688e-05
26	12.238848000000015	10.876480456071462	0.7956347377072109	11.838570106246857	9.036064147949219e-05	7.843971252441406e-05
27	12.096950386891166	10.801792094828652	1.9458134670040992	12.443971159481096	9.870529174804688e-05	8.296966552734375e-05
28	12.14449016918151	10.885844487986093	1.5604705060635555	11.762668122466454	0.000102996826171875	8.845329284667969e-05
29	12.119169096209903	10.90990623608621	1.7657153928297364	11.567630938625848	0.0001163482666015625	9.632110595703125e-05
30	12.08020009020459	10.909949514294171	2.0815862579356343	11.567280138685323	0.00012564659118652344	0.00010180473327636719
31	12.087999999999973	10.954955592369183	2.0183625705139048	11.202474610552548	0.00017905235290527344	0.0001227855682373047
32	12.209862038870778	11.099396650840925	1.030586088957219	10.031679489679828	0.00015211105346679688	0.00012683868408203125
33	12.240966796875	11.162170337748584	0.778460417125518	9.52285514895362	0.00018286705017089844	0.00013518333435058594
34	12.189331329827171	11.141328185063472	1.1970017482623947	9.691795275330415	0.00017595291137695312	0.00013184547424316406
35	12.079381233462275	11.072413795890261	2.088223660684824	10.250394273811889	0.000194549560546875	0.00014972686767578125
36	12.178285714285732	11.1898170247228	1.2865341355197415	9.298759545112286	0.00025153160095214844	0.00020503997802734375
37	12.208333333333364	11.25425297152712	1.0429773093165278	8.776461433166014	0.0002658367156982422	0.0001723766326904297
38	12.184549779874901	11.24738399628007	1.2357595323271104	8.8321392493613	0.00024628639221191406	0.00021266937255859375
39	12.259367254701843	11.340012864114222	0.629311923799387	8.081317927088818	0.00038051605224609375	0.00030112266540527344
40	12.234865725989991	11.33900205401033	0.8279138350099122	8.089511245181939	0.000335693359375	0.00025534629821777344
41	12.247874999999912	11.373231262188591	0.7224646317288981	7.812059734161019	0.0003104209899902344	0.0002868175506591797
42	12.164187983343213	11.315040550311869	1.4008060383811165	8.283735878508201	0.00043511390686035156	0.00044989585876464844
43	12.214771622934768	11.382729932189513	0.9907904994728195	7.735066415159315	0.0005738735198974609	0.0003724098205566406
44	12.26518419761779	11.446438256702708	0.5821615604854912	7.218666187355548	0.0004303455352783203	0.0005340576171875
45	12.307381667918795	11.504915006999768	0.2401217494766729	6.744671502903098	0.0005235671997070312	0.0004298686981201172
46	12.23427160493834	11.452889632849594	0.8327295988643131	7.166373301969591	0.0005054473876953125	0.0004513263702392578
47	12.236952412262552	11.472424223991961	0.8109997931678259	7.008031870248489	0.0005650520324707031	0.0005018711090087891
48	12.235901486183296	11.48674630806089	0.8195182791094856	6.891941429441368	0.0006699562072753906	0.0005464553833007812
49	12.276692708333298	11.543689342089932	0.4888770862730259	6.430378580800698	0.0005857944488525391	0.0005776882171630859
50	12.266725599027424	11.544862303773646	0.5696674312621245	6.420870911507814	0.0005707740783691406	0.0005958080291748047
51	12.257856000000064	11.55120516251854	0.6415616930129275	6.369457635051109	0.0006785392761230469	0.0006537437438964844
52	12.262433000881972	11.568031275761308	0.6044619212619781	6.233070298262526	0.0007224082946777344	0.0006933212280273438
53	12.276684114701835	11.594561852212445	0.4889467436259579	6.018021545563109	0.0006492137908935547	0.0006885528564453125
54	12.272359061507082	11.602452695181606	0.5240043043466353	5.954060781597414	0.0007686614990234375	0.0008456707000732422
55	12.267489711934168	11.610221483649696	0.5634737653303116	5.891089354153112	0.0009756088256835938	0.0008397102355957031
56	12.297232156273411	11.649846944950514	0.32239059214083293	5.569897462843303	0.0008935928344726562	0.0008561611175537109
